windangle windspeed sailpos rudderpos	gyrox gyroy gyroz accelx accely accelz accelxnorm accelynorm accelznorm xrot yrot temperature	lat lon
195 6.72 158 159 	-185.00000 -169.00000 -1126.00000 -13452.00000 5784.00000 9464.00000 -0.82104 0.35303 0.57764 19.374846579874124 50.4935260307358 14.96172	42.431556666666665,-71.14718
210 4.8 157 159 	-136.00000 -162.00000 -1135.00000 -13640.00000 5556.00000 9604.00000 -0.83252 0.33911 0.58618 18.420605922542038 50.873738345730025 14.91380	42.431536666666666,-71.147175
50 5.28 157 159 	-238.00000 -268.00000 -1080.00000 -13312.00000 5832.00000 9688.00000 -0.81250 0.35596 0.59131 19.505427816435407 49.65360238292507 15.20134	42.431555,-71.14719666666667
62 6.72 158 159 	-415.00000 -256.00000 -1117.00000 -13236.00000 5680.00000 9868.00000 -0.81641 0.34668 0.60229 18.86598404879019 49.594832755034 15.10549	42.431578333333334,-71.14722166666667
20 4.8 158 160 	-119.00000 -165.00000 -1072.00000 -13540.00000 5748.00000 9516.00000 -0.83496 0.36353 0.58081 19.667509011138044 50.62664680205646 14.91380	42.43159,-71.14721833333333
53 6.24 157 159 	-181.00000 -112.00000 -1124.00000 -13700.00000 4844.00000 9280.00000 -0.78149 0.29565 0.56641 17.0310942265429 50.73156792850237 14.86588	42.43156,-71.14720666666666
32 8.16 158 159 	-221.00000 -507.00000 -1162.00000 -13076.00000 5036.00000 9992.00000 -0.80664 0.30737 0.60986 16.907025517173388 49.747041590836275 15.20134	42.43153,-71.14717333333333
47 7.68 157 113 	-80.00000 -220.00000 -1116.00000 -13436.00000 5196.00000 9696.00000 -0.82007 0.31714 0.59180 17.411102723945756 50.691692092437144 15.10549	42.43147833333333,-71.147165
54 6.72 158 159 	-657.00000 -434.00000 -1151.00000 -13916.00000 5208.00000 9548.00000 -0.84937 0.31787 0.58276 17.149865333197667 51.990699937247804 15.10549	42.431513333333335,-71.14715833333334
75 8.16 52 159 	623.00000 369.00000 -1124.00000 -12628.00000 3648.00000 9284.00000 -0.77075 0.22266 0.56665 13.102285416812936 51.694402582276254 15.20134	42.431525,-71.14718166666667
127 5.76 254 159 	-867.00000 -542.00000 -1081.00000 -13536.00000 4988.00000 9752.00000 -0.82617 0.30444 0.59521 16.645915453842413 51.019493720279534 15.29718	42.43151,-71.14718166666667
54 6.24 29 159 	175.00000 109.00000 -1118.00000 -13624.00000 5736.00000 9976.00000 -0.83154 0.35010 0.60889 18.762187414444917 49.81395056187224 15.10549	42.431506666666664,-71.14718333333333
67 5.76 29 159 	99.00000 -62.00000 -1118.00000 -13308.00000 6080.00000 9888.00000 -0.81201 0.37109 0.60352 20.14262849117808 48.895374217229154 15.24926	42.43151,-71.14717333333333
25 5.76 157 159 	-12.00000 153.00000 -1113.00000 -14444.00000 9920.00000 9120.00000 -0.88159 0.60547 0.55664 30.144570091922443 46.98739077870298 15.29718	42.431531666666665,-71.147175
45 5.28 157 159 	-192.00000 -194.00000 -1081.00000 -13984.00000 9936.00000 9244.00000 -0.85352 0.60645 0.56421 30.656412368199195 45.8584174539672 15.10549	42.43158,-71.14723
42 6.72 156 159 	-192.00000 -194.00000 -1081.00000 -13984.00000 9936.00000 9244.00000 -0.85352 0.60645 0.56421 30.656412368199195 45.8584174539672 14.91380	42.431603333333335,-71.14723833333333
44 4.8 158 159 	-192.00000 -194.00000 -1081.00000 -13984.00000 9936.00000 9244.00000 -0.85352 0.60645 0.56421 30.656412368199195 45.8584174539672 15.20134	42.43163333333333,-71.14727833333333
30 5.28 157 159 	-192.00000 -194.00000 -1081.00000 -13984.00000 9936.00000 9244.00000 -0.85352 0.60645 0.56421 30.656412368199195 45.8584174539672 15.20134	42.43165333333334,-71.14730166666666
38 5.28 157 159 	-192.00000 -194.00000 -1081.00000 -13984.00000 9936.00000 9244.00000 -0.85352 0.60645 0.56421 30.656412368199195 45.8584174539672 14.96172	42.43167833333333,-71.14733333333334
34 3.36 141 159 	-192.00000 -194.00000 -1081.00000 -13984.00000 9936.00000 9244.00000 -0.85352 0.60645 0.56421 30.656412368199195 45.8584174539672 15.20134	42.4317,-71.147355
40 7.68 254 159 	-192.00000 -194.00000 -1081.00000 -13984.00000 9936.00000 9244.00000 -0.85352 0.60645 0.56421 30.656412368199195 45.8584174539672 15.05757	42.43172333333333,-71.14738166666666
79 1.92 254 159 	-192.00000 -194.00000 -1081.00000 -13984.00000 9936.00000 9244.00000 -0.85352 0.60645 0.56421 30.656412368199195 45.8584174539672 14.09911	42.43175,-71.14738
115 3.36 157 159 	-192.00000 -194.00000 -1081.00000 -13984.00000 9936.00000 9244.00000 -0.85352 0.60645 0.56421 30.656412368199195 45.8584174539672 14.14703	42.43176833333333,-71.147375
136 3.84 157 159 	-192.00000 -194.00000 -1081.00000 -13984.00000 9936.00000 9244.00000 -0.85352 0.60645 0.56421 30.656412368199195 45.8584174539672 14.09911	42.43178666666667,-71.14734333333334
146 3.84 158 159 	-192.00000 -194.00000 -1081.00000 -13984.00000 9936.00000 9244.00000 -0.85352 0.60645 0.56421 30.656412368199195 45.8584174539672 14.09911	42.431756666666665,-71.14730666666667
118 3.84 109 158 	-192.00000 -194.00000 -1081.00000 -13984.00000 9936.00000 9244.00000 -0.85352 0.60645 0.56421 30.656412368199195 45.8584174539672 14.77003	42.431713333333335,-71.14729
95 2.88 29 160 	-192.00000 -194.00000 -1081.00000 -13984.00000 9936.00000 9244.00000 -0.85352 0.60645 0.56421 30.656412368199195 45.8584174539672 14.19496	42.43170833333333,-71.14726333333333
