windangle windspeed sailpos rudderpos	gyrox gyroy gyroz accelx accely accelz accelxnorm accelynorm accelznorm xrot yrot temperature	lat lon
213 8.64 158 159 	-67.00000 -478.00000 -1131.00000 -13244.00000 6616.00000 9544.00000 -0.80835 0.40381 0.58252 22.061667062155056 48.75434976524065 14.57834	42.43167666666667,-71.14737833333334
214 6.72 157 159 	-360.00000 -44.00000 -1094.00000 -13372.00000 5960.00000 9572.00000 -0.81616 0.36377 0.58423 19.921690052002994 49.86096281317737 14.43457	42.431666666666665,-71.147375
217 6.24 157 159 	-129.00000 -149.00000 -1075.00000 -13352.00000 6236.00000 9468.00000 -0.82007 0.38062 0.57788 20.776348260432663 49.842720111696 14.43457	42.431655,-71.147355
182 4.8 157 159 	-41.00000 142.00000 -1153.00000 -15316.00000 7844.00000 9548.00000 -0.93481 0.47876 0.58276 23.49022604342457 51.10355218537135 14.43457	42.43163833333333,-71.147365
175 5.28 121 159 	-353.00000 -501.00000 -1162.00000 -13476.00000 8544.00000 9732.00000 -0.82251 0.52148 0.59399 27.202968771036016 46.139510975859984 14.33872	42.4317,-71.147335
188 3.84 158 159 	-233.00000 -116.00000 -1103.00000 -13664.00000 7592.00000 9732.00000 -0.84473 0.46338 0.59399 24.16684559573856 48.27223547911479 14.57834	42.431736666666666,-71.14733
200 3.36 156 159 	160.00000 -167.00000 -1122.00000 -13576.00000 8404.00000 10068.00000 -0.82861 0.51294 0.61450 26.437657954821667 45.99044697078106 14.33872	42.431765,-71.14731666666667
198 3.36 118 159 	-338.00000 -85.00000 -1130.00000 -13988.00000 8136.00000 9388.00000 -0.85376 0.49658 0.57300 25.778404529769613 48.39130534469822 14.38665	42.43178666666667,-71.14732666666667
212 3.36 157 159 	80.00000 -156.00000 -1118.00000 -13920.00000 8060.00000 9712.00000 -0.84961 0.49194 0.59277 25.40147238098448 47.802276880391204 14.67418	42.43179833333333,-71.14732166666667
203 2.88 157 158 	-506.00000 -7.00000 -1068.00000 -14032.00000 8448.00000 9600.00000 -0.85400 0.51562 0.58594 26.466805202087784 47.574593023585614 14.43457	42.431801666666665,-71.147345
211 3.84 139 159 	-190.00000 -181.00000 -1126.00000 -14040.00000 8292.00000 9816.00000 -0.85693 0.50610 0.59912 25.828432716224757 47.53491863315584 14.38665	42.431803333333335,-71.147355
209 2.88 158 158 	-271.00000 -43.00000 -1105.00000 -13848.00000 8144.00000 9960.00000 -0.84521 0.49707 0.60791 25.521461613705995 47.105888310426856 14.33872	42.431803333333335,-71.14737666666667
211 2.88 159 159 	-361.00000 -97.00000 -1131.00000 -13800.00000 8700.00000 9476.00000 -0.84229 0.53101 0.57837 27.46120622771414 47.01027786289913 14.33872	42.431803333333335,-71.14741333333333
210 4.32 157 158 	278.00000 -289.00000 -1081.00000 -13912.00000 7792.00000 9608.00000 -0.84912 0.47559 0.58643 24.74334669973066 48.3566523231504 14.33872	42.43182,-71.14745666666667
213 4.32 157 159 	-546.00000 -231.00000 -1106.00000 -14044.00000 8640.00000 9512.00000 -0.85718 0.52734 0.58057 26.992999692104604 47.54161079329414 14.67418	42.43183333333333,-71.14747833333334
218 3.84 157 159 	-337.00000 -211.00000 -1091.00000 -14000.00000 8616.00000 9344.00000 -0.85449 0.52588 0.57031 27.10733684941017 47.76488879579855 14.43457	42.431848333333335,-71.14750833333333
213 3.84 195 159 	-337.00000 -211.00000 -1091.00000 -14000.00000 8616.00000 9344.00000 -0.85449 0.52588 0.57031 27.10733684941017 47.76488879579855 14.14703	42.43187,-71.14753666666667
209 4.8 157 159 	-337.00000 -211.00000 -1091.00000 -14000.00000 8616.00000 9344.00000 -0.85449 0.52588 0.57031 27.10733684941017 47.76488879579855 14.43457	42.431875,-71.14754333333333
212 3.84 157 159 	-337.00000 -211.00000 -1091.00000 -14000.00000 8616.00000 9344.00000 -0.85449 0.52588 0.57031 27.10733684941017 47.76488879579855 14.38665	42.431893333333335,-71.14757833333333
208 2.4 122 158 	-337.00000 -211.00000 -1091.00000 -14000.00000 8616.00000 9344.00000 -0.85449 0.52588 0.57031 27.10733684941017 47.76488879579855 14.24288	42.4319,-71.14760333333334
207 0.96 157 159 	-337.00000 -211.00000 -1091.00000 -14000.00000 8616.00000 9344.00000 -0.85449 0.52588 0.57031 27.10733684941017 47.76488879579855 14.19496	42.431905,-71.14764166666667
188 0.96 159 159 	-337.00000 -211.00000 -1091.00000 -14000.00000 8616.00000 9344.00000 -0.85449 0.52588 0.57031 27.10733684941017 47.76488879579855 14.24288	42.431916666666666,-71.14767166666667
170 0.96 157 158 	-337.00000 -211.00000 -1091.00000 -14000.00000 8616.00000 9344.00000 -0.85449 0.52588 0.57031 27.10733684941017 47.76488879579855 14.19496	42.431931666666664,-71.14768333333333
169 0.48 157 159 	-337.00000 -211.00000 -1091.00000 -14000.00000 8616.00000 9344.00000 -0.85449 0.52588 0.57031 27.10733684941017 47.76488879579855 14.24288	42.43192,-71.14769
171 0.48 157 158 	-337.00000 -211.00000 -1091.00000 -14000.00000 8616.00000 9344.00000 -0.85449 0.52588 0.57031 27.10733684941017 47.76488879579855 14.33872	42.43192,-71.147685
