windangle windspeed sailpos rudderpos	gyrox gyroy gyroz accelx accely accelz accelxnorm accelynorm accelznorm xrot yrot temperature	lat lon
200 2.4 29 159 	-268.00000 -113.00000 -1123.00000 -13812.00000 7968.00000 9948.00000 -0.84302 0.48633 0.60718 25.084847003410413 47.299308840653495 13.38027	42.43168166666667,-71.14733
201 2.4 29 159 	-277.00000 -127.00000 -1134.00000 -13520.00000 7368.00000 9644.00000 -0.82520 0.44971 0.58862 23.92516478893366 48.08667136314453 14.77003	42.431686666666664,-71.14730333333333
229 1.92 29 158 	582.00000 -99.00000 -1113.00000 -13544.00000 6984.00000 9668.00000 -0.82666 0.42627 0.59009 22.767595902384773 48.63317255710284 13.38027	42.43170333333333,-71.147285
198 3.84 157 159 	-117.00000 5.00000 -1100.00000 -13892.00000 8732.00000 9920.00000 -0.84790 0.53296 0.60547 27.091227726124643 46.42919594169493 14.05119	42.431711666666665,-71.14728166666667
206 3.84 157 158 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 14.81795	42.431715,-71.147295
204 3.36 158 159 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 14.67418	42.431733333333334,-71.14734
187 2.4 236 158 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.38027	42.43174,-71.14737666666667
190 2.4 210 159 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.90742	42.43171666666667,-71.147425
188 2.88 121 158 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 14.05119	42.431733333333334,-71.14746333333333
192 2.88 191 159 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 14.05119	42.43173,-71.14748333333333
191 3.36 157 158 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.90742	42.43172833333333,-71.147515
185 5.76 158 159 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 14.05119	42.431733333333334,-71.14753
188 4.8 174 158 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.81157	42.431745,-71.14756
184 8.64 157 159 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.38027	42.43176166666667,-71.14759333333333
