windangle windspeed sailpos rudderpos	gyrox gyroy gyroz accelx accely accelz accelxnorm accelynorm accelznorm xrot yrot temperature	lat lon
179 13.44 157 158 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.85950	42.431776666666664,-71.14763833333333
187 13.44 173 159 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.71573	42.43181333333333,-71.14770333333334
181 9.12 157 159 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.66780	42.43185833333333,-71.14778666666666
171 4.8 156 158 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.71573	42.431911666666664,-71.14787833333334
175 3.84 128 158 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.71573	42.43192333333333,-71.14793
165 3.36 152 158 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.61988	42.431925,-71.14797166666666
160 3.36 198 159 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.61988	42.43194166666667,-71.14801166666666
189 4.32 254 159 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.61988	42.431961666666666,-71.14803666666667
2 5.28 157 158 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.66780	42.43199,-71.14802166666666
248 3.36 157 159 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.61988	42.43204166666666,-71.147965
251 3.84 157 142 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.71573	42.43201666666667,-71.147935
250 4.32 157 142 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.81157	42.431985,-71.14790166666667
3 4.8 157 142 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.66780	42.43195,-71.14787666666666
15 6.72 157 142 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.85950	42.43192,-71.14789
16 6.72 157 142 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.61988	42.431886666666664,-71.14788666666666
12 9.6 138 142 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.81157	42.431845,-71.14787666666666
255 9.6 158 142 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.81157	42.43183833333333,-71.14781
4 9.12 149 143 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.71573	42.431848333333335,-71.14772833333333
254 8.64 157 142 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.61988	42.431866666666664,-71.147635
2 7.199999999999999 158 142 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.61988	42.431868333333334,-71.147535
249 5.76 177 142 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.85950	42.431873333333336,-71.14744
252 4.32 149 142 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.66780	42.43190166666667,-71.147395
222 6.24 29 143 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.71573	42.431868333333334,-71.14734666666666
196 4.8 157 142 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.66780	42.431873333333336,-71.14733166666667
189 5.76 167 142 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.81157	42.43188333333333,-71.14734833333333
190 4.8 176 142 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.66780	42.431911666666664,-71.14737833333334
187 4.32 157 201 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.71573	42.43194,-71.14740833333333
184 4.8 121 249 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.85950	42.431965,-71.14744333333333
189 4.8 153 254 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.81157	42.43196,-71.14750666666667
180 4.8 146 254 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.81157	42.431975,-71.147555
176 5.76 119 243 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.71573	42.43196,-71.1476
178 4.8 157 243 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.90742	42.43195,-71.14770333333334
143 4.32 30 243 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.52404	42.431931666666664,-71.14778166666666
30 7.199999999999999 29 243 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.61988	42.431913333333334,-71.147765
236 4.8 157 243 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.71573	42.43192833333333,-71.14776166666667
245 5.76 254 163 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.71573	42.43191,-71.14780333333333
34 6.72 254 211 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.85950	42.431916666666666,-71.14782666666666
62 4.8 157 181 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.66780	42.431893333333335,-71.14777833333333
59 4.32 157 155 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.61988	42.431853333333336,-71.147735
57 5.76 157 140 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.81157	42.43181833333333,-71.14768166666667
53 5.28 157 137 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.90742	42.43178666666667,-71.14761833333333
55 3.84 158 60 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.90742	42.43175166666666,-71.14759166666667
