windangle windspeed sailpos rudderpos	gyrox gyroy gyroz accelx accely accelz accelxnorm accelynorm accelznorm xrot yrot temperature	lat lon
172 0.0 155 159 	-337.00000 -211.00000 -1091.00000 -14000.00000 8616.00000 9344.00000 -0.85449 0.52588 0.57031 27.10733684941017 47.76488879579855 14.19496	42.43193,-71.147695
170 0.0 157 157 	-337.00000 -211.00000 -1091.00000 -14000.00000 8616.00000 9344.00000 -0.85449 0.52588 0.57031 27.10733684941017 47.76488879579855 14.43457	42.43193333333333,-71.14769166666666
170 0.0 157 158 	-337.00000 -211.00000 -1091.00000 -14000.00000 8616.00000 9344.00000 -0.85449 0.52588 0.57031 27.10733684941017 47.76488879579855 14.24288	42.43193333333333,-71.14768
170 0.0 157 158 	-337.00000 -211.00000 -1091.00000 -14000.00000 8616.00000 9344.00000 -0.85449 0.52588 0.57031 27.10733684941017 47.76488879579855 14.19496	42.43192666666667,-71.147675
169 1.92 156 158 	-337.00000 -211.00000 -1091.00000 -14000.00000 8616.00000 9344.00000 -0.85449 0.52588 0.57031 27.10733684941017 47.76488879579855 14.14703	42.43192,-71.14766166666666
168 1.44 157 159 	-337.00000 -211.00000 -1091.00000 -14000.00000 8616.00000 9344.00000 -0.85449 0.52588 0.57031 27.10733684941017 47.76488879579855 14.14703	42.431911666666664,-71.14766166666666
164 0.96 28 159 	-337.00000 -211.00000 -1091.00000 -14000.00000 8616.00000 9344.00000 -0.85449 0.52588 0.57031 27.10733684941017 47.76488879579855 14.24288	42.4319,-71.14766333333333
157 0.96 157 158 	-337.00000 -211.00000 -1091.00000 -14000.00000 8616.00000 9344.00000 -0.85449 0.52588 0.57031 27.10733684941017 47.76488879579855 14.24288	42.431895,-71.14764833333334
146 3.36 157 158 	-337.00000 -211.00000 -1091.00000 -14000.00000 8616.00000 9344.00000 -0.85449 0.52588 0.57031 27.10733684941017 47.76488879579855 14.38665	42.43189,-71.14764666666666
142 1.92 54 158 	-337.00000 -211.00000 -1091.00000 -14000.00000 8616.00000 9344.00000 -0.85449 0.52588 0.57031 27.10733684941017 47.76488879579855 14.24288	42.43187833333333,-71.14764666666666
138 0.96 45 160 	-337.00000 -211.00000 -1091.00000 -14000.00000 8616.00000 9344.00000 -0.85449 0.52588 0.57031 27.10733684941017 47.76488879579855 14.19496	42.43187,-71.14765
84 2.4 254 159 	-337.00000 -211.00000 -1091.00000 -14000.00000 8616.00000 9344.00000 -0.85449 0.52588 0.57031 27.10733684941017 47.76488879579855 14.33872	42.43186,-71.14764666666666
98 2.4 84 159 	-337.00000 -211.00000 -1091.00000 -14000.00000 8616.00000 9344.00000 -0.85449 0.52588 0.57031 27.10733684941017 47.76488879579855 14.14703	42.431825,-71.14765666666666
104 4.32 157 159 	-337.00000 -211.00000 -1091.00000 -14000.00000 8616.00000 9344.00000 -0.85449 0.52588 0.57031 27.10733684941017 47.76488879579855 14.24288	42.431815,-71.147655
91 2.88 29 158 	-337.00000 -211.00000 -1091.00000 -14000.00000 8616.00000 9344.00000 -0.85449 0.52588 0.57031 27.10733684941017 47.76488879579855 14.33872	42.431805,-71.14763333333333
59 3.84 29 159 	-337.00000 -211.00000 -1091.00000 -14000.00000 8616.00000 9344.00000 -0.85449 0.52588 0.57031 27.10733684941017 47.76488879579855 14.57834	42.4318,-71.147635
55 4.32 118 158 	-337.00000 -211.00000 -1091.00000 -14000.00000 8616.00000 9344.00000 -0.85449 0.52588 0.57031 27.10733684941017 47.76488879579855 14.24288	42.431801666666665,-71.14764833333334
51 4.32 140 158 	-337.00000 -211.00000 -1091.00000 -14000.00000 8616.00000 9344.00000 -0.85449 0.52588 0.57031 27.10733684941017 47.76488879579855 14.19496	42.43179833333333,-71.14765666666666
62 3.84 120 158 	-337.00000 -211.00000 -1091.00000 -14000.00000 8616.00000 9344.00000 -0.85449 0.52588 0.57031 27.10733684941017 47.76488879579855 14.19496	42.431801666666665,-71.14764166666667
57 2.88 210 159 	-337.00000 -211.00000 -1091.00000 -14000.00000 8616.00000 9344.00000 -0.85449 0.52588 0.57031 27.10733684941017 47.76488879579855 14.57834	42.43179833333333,-71.14760166666667
51 4.8 157 159 	-337.00000 -211.00000 -1091.00000 -14000.00000 8616.00000 9344.00000 -0.85449 0.52588 0.57031 27.10733684941017 47.76488879579855 14.38665	42.43178666666667,-71.14756833333334
